City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
287,villa berthet,-27.2917,-60.4126,50.72,56,5,5.03,AR
288,arteche,12.2645,125.4048,80.85,91,89,11.79,PH
289,changtu,42.7788,124.0955,57.85,98,100,10.74,CN
290,tralee,52.2704,-9.7026,50.58,97,100,3.98,IE
291,cedeira,43.6797,-8.0209,58.39,80,26,11.81,ES
292,nuuk,64.1835,-51.7216,36.21,75,40,13.8,GL
293,peace river,56.2501,-117.286,67.35,32,15,3.04,CA
294,mukalla,14.5425,49.1242,85.69,74,25,6.2,YE
295,nova sintra,14.8667,-24.7167,75.99,77,100,14.43,CV
296,thompson,55.7435,-97.8558,52.52,51,100,9.71,CA
297,hardoi,27.4167,80.1167,95.58,22,0,4.7,IN
298,yarovoye,52.9273,78.58,41.72,92,100,5.66,RU
299,saint-paul,-21.0096,55.2707,73.49,78,5,2.15,RE
300,oranjemund,-28.55,16.4333,55.63,92,33,7.72,NA
301,teteven,42.9167,24.2667,56.19,82,62,4.45,BG
302,emporia,38.4039,-96.1817,84.4,54,0,14.97,US
303,yasugicho,35.4333,133.25,59.58,55,57,5.5,JP
304,callao,-12.0667,-77.15,62.89,88,100,11.5,PE
305,menomonie,44.8755,-91.9193,73.44,40,40,13.8,US
306,farasan,16.7022,42.1183,87.08,69,3,6.8,SA
307,chu,43.5983,73.7614,50.27,57,100,16.6,KZ
308,keflavik,64.0049,-22.5624,50.43,87,75,26.46,IS
309,markaz-e hukumat-e darweshan,31.1323,64.1934,88.43,18,0,5.61,AF
310,walvis bay,-22.9575,14.5053,71.28,35,28,12.35,NA
311,moshi,-3.35,37.3333,67.19,88,70,2.62,TZ
312,puerto deseado,-47.7503,-65.8938,42.69,72,92,9.73,AR
313,santa rosa del sur,7.9644,-74.0544,80.67,84,100,1.92,CO
314,brosteni,47.2333,25.7,54.93,78,62,1.59,RO
315,rzhanitsa,53.4284,33.923,58.01,79,30,2.82,RU
